transaction_id,account_id,transaction_type,amount,currency,category,merchant_name,description,transaction_date,value_date,reference_number,status,channel,balance_after,initiated_by
1,408,Debit,6744.73,USD,Insurance,Trader Joe's,Debit - Insurance,2023-10-19 02:17:22,2023-10-19,TXN0000000001,Failed,POS,260308.29,12.0
2,169,Debit,6237.6,USD,Rent/Mortgage,BP,Debit - Rent/Mortgage,2023-06-04 17:09:42,2023-06-04,TXN0000000002,Completed,Online,71247.04,
3,285,Debit,10812.05,USD,Travel,Walmart,Debit - Travel,2022-03-01 17:29:08,2022-03-01,TXN0000000003,Completed,Wire,102231.86,
4,346,Credit,1569.85,USD,Investment,Costco,Credit - Investment,2022-11-10 08:24:51,2022-11-10,TXN0000000004,Completed,Wire,197258.36,
5,544,Debit,13343.91,USD,Other,Internal Transfer,Debit - Other,2024-08-09 10:18:17,2024-08-09,TXN0000000005,Completed,Wire,239884.11,
6,552,Debit,668.66,USD,Insurance,H&M,Debit - Insurance,2022-01-28 19:54:57,2022-01-28,TXN0000000006,Completed,ATM,141829.79,
7,475,Debit,13846.42,USD,Other,The Gym,Debit - Other,2022-12-13 06:17:50,2022-12-13,TXN0000000007,Completed,Wire,255501.58,53.0
8,261,Debit,3981.22,USD,Investment,Target,Debit - Investment,2022-12-23 01:58:21,2022-12-23,TXN0000000008,Completed,Mobile,70932.97,
9,49,Credit,12036.07,USD,Payroll,Bill Payment - Electric,Credit - Payroll,2024-04-11 11:51:03,2024-04-11,TXN0000000009,Failed,ATM,150027.3,
10,53,Debit,14833.04,USD,ATM Withdrawal,Bill Payment - Water,Debit - ATM Withdrawal,2024-04-09 16:19:07,2024-04-09,TXN0000000010,Completed,ATM,256425.4,
11,337,Debit,8176.4,USD,ATM Withdrawal,Sephora,Debit - ATM Withdrawal,2022-01-23 01:50:15,2022-01-23,TXN0000000011,Completed,Wire,72924.49,31.0
12,102,Debit,13966.3,USD,Payroll,Delta Airlines,Debit - Payroll,2022-09-20 13:37:13,2022-09-20,TXN0000000012,Completed,Mobile,47720.3,28.0
13,168,Debit,1464.97,USD,Loan Payment,Bill Payment - Electric,Debit - Loan Payment,2023-04-26 18:42:49,2023-04-26,TXN0000000013,Completed,Wire,19645.52,10.0
14,4,Debit,990.67,USD,Payroll,Spotify,Debit - Payroll,2022-10-06 00:30:10,2022-10-06,TXN0000000014,Completed,Branch,35553.15,
